Phase,Task ID,작업명,상세 설명,산출물,예상 기간,담당,선행 작업,상태,우선순위
Phase 1: MVP,1.1.1,Supabase 프로젝트 생성,프로젝트 생성 및 환경변수 설정,.env 파일,0.5일,DevOps,-,대기,High
Phase 1: MVP,1.1.2,DB 스키마 생성,"users, exam_sessions, answers, scores 테이블",SQL 마이그레이션,1일,Backend,1.1.1,대기,High
Phase 1: MVP,1.1.3,Supabase Auth 설정,"Email 로그인, 소셜 로그인(선택)",Auth 설정 완료,0.5일,Backend,1.1.1,대기,High
Phase 1: MVP,1.1.4,FastAPI 프로젝트 초기화,"프로젝트 구조, Docker 설정",/backend 폴더,1일,Backend,-,대기,High
Phase 1: MVP,1.1.5,CI/CD 파이프라인,"GitHub Actions, 자동 배포",.github/workflows,0.5일,DevOps,1.1.4,대기,Medium
Phase 1: MVP,1.2.1,회원가입 API,"이메일 검증, 비밀번호 해시",POST /auth/register,1일,Backend,1.1.2,대기,High
Phase 1: MVP,1.2.2,로그인 API,"JWT 발급, Refresh Token",POST /auth/login,1일,Backend,1.1.3,대기,High
Phase 1: MVP,1.2.3,토큰 갱신 API,Access Token 재발급,POST /auth/refresh,0.5일,Backend,1.2.2,대기,High
Phase 1: MVP,1.2.4,프론트 AuthContext,Supabase Auth 연동,AuthContext.tsx,1일,Frontend,1.2.2,대기,High
Phase 1: MVP,1.2.5,로그인/회원가입 UI,Landing 페이지 수정,Landing.tsx 수정,0.5일,Frontend,1.2.4,대기,High
Phase 1: MVP,1.2.6,Protected Route,인증 필요 페이지 가드,ProtectedRoute.tsx,0.5일,Frontend,1.2.4,대기,High
Phase 1: MVP,1.3.1,세션 생성 API,사용자별 시험 세션 생성,POST /exams/sessions,1일,Backend,1.2.1,대기,High
Phase 1: MVP,1.3.2,문항 추출 API,역량별 랜덤 추출 로직,GET /exams/sessions/:id/questions,1일,Backend,1.3.1,대기,High
Phase 1: MVP,1.3.3,시험 시작 API,"시작 시간 기록, 상태 변경",POST /exams/sessions/:id/start,0.5일,Backend,1.3.1,대기,High
Phase 1: MVP,1.3.4,답안 저장 API,자동저장 (30초 인터벌),POST /exams/sessions/:id/answers,1일,Backend,1.3.1,대기,High
Phase 1: MVP,1.3.5,시험 제출 API,"최종 제출, 상태 변경",POST /exams/sessions/:id/submit,0.5일,Backend,1.3.4,대기,High
Phase 1: MVP,1.3.6,Frontend API 연동,ExamContext API 호출 연결,ExamContext.tsx 수정,1일,Frontend,1.3.4,대기,High
Phase 1: MVP,1.3.7,자동저장 훅,useAutoSave 구현,useAutoSave.ts,0.5일,Frontend,1.3.6,대기,High
Phase 1: MVP,1.4.1,"Part 1,2 자동채점",정답 비교 로직,POST /scoring/auto,1일,Backend,1.3.5,대기,High
Phase 1: MVP,1.4.2,Part 3 AI 채점,Claude API 연동,POST /scoring/ai,1.5일,Backend,1.4.1,대기,High
Phase 1: MVP,1.4.3,채점 결과 저장,scores 테이블 저장,DB 저장 로직,0.5일,Backend,1.4.2,대기,High
Phase 1: MVP,1.4.4,결과 조회 API,파트별/역량별 점수,GET /scoring/results/:session_id,0.5일,Backend,1.4.3,대기,High
Phase 1: MVP,1.4.5,Results 페이지 연동,API에서 결과 조회,Results.tsx 수정,1일,Frontend,1.4.4,대기,High
Phase 2: Admin,2.1.1,Admin Role 추가,users 테이블 role 필드 활용,DB 스키마 수정,0.5일,Backend,1.1.2,대기,Medium
Phase 2: Admin,2.1.2,Admin Guard,role='admin' 체크 미들웨어,middleware.py,0.5일,Backend,2.1.1,대기,Medium
Phase 2: Admin,2.1.3,Admin 라우트 보호,/admin/* 접근 제어,AdminRoute.tsx,0.5일,Frontend,2.1.2,대기,Medium
Phase 2: Admin,2.2.1,문항 목록 API,필터/페이지네이션,GET /questions,1일,Backend,2.1.2,대기,Medium
Phase 2: Admin,2.2.2,문항 생성 API,유효성 검증,POST /questions,0.5일,Backend,2.2.1,대기,Medium
Phase 2: Admin,2.2.3,문항 수정 API,부분 업데이트,PUT /questions/:id,0.5일,Backend,2.2.1,대기,Medium
Phase 2: Admin,2.2.4,문항 삭제 API,Soft delete,DELETE /questions/:id,0.5일,Backend,2.2.1,대기,Medium
Phase 2: Admin,2.2.5,CSV Import API,일괄 업로드,POST /questions/import,1일,Backend,2.2.2,대기,Medium
Phase 2: Admin,2.2.6,CSV Export API,다운로드,GET /questions/export,0.5일,Backend,2.2.1,대기,Medium
Phase 2: Admin,2.2.7,문항 관리 UI,CRUD 화면,QuestionManager.tsx,2일,Frontend,2.2.5,대기,Medium
Phase 2: Admin,2.3.1,사용자 목록 API,검색/필터,GET /users,1일,Backend,2.1.2,대기,Medium
Phase 2: Admin,2.3.2,사용자 시험 이력,세션 목록,GET /users/:id/exams,0.5일,Backend,2.3.1,대기,Medium
Phase 2: Admin,2.3.3,시험 세션 목록,전체 세션 조회,GET /exams/sessions,0.5일,Backend,2.3.1,대기,Medium
Phase 2: Admin,2.3.4,사용자 관리 UI,테이블 + 상세,UserManager.tsx,1.5일,Frontend,2.3.3,대기,Medium
Phase 2: Admin,2.4.1,전체 현황 API,"응시자수, 평균점수",GET /analytics/overview,1일,Backend,1.4.3,대기,Medium
Phase 2: Admin,2.4.2,역량별 통계 API,역량별 평균/분포,GET /analytics/by-competency,0.5일,Backend,2.4.1,대기,Medium
Phase 2: Admin,2.4.3,문항 분석 API,"정답률, 변별도",GET /analytics/item-analysis,1일,Backend,2.4.1,대기,Medium
Phase 2: Admin,2.4.4,대시보드 UI,차트 시각화,Dashboard.tsx,2일,Frontend,2.4.3,대기,Medium
Phase 3: 고도화,3.1.1,탭 이탈 감지,visibility API 활용,useTabDetection.ts,0.5일,Frontend,-,대기,Low
Phase 3: 고도화,3.1.2,복사/붙여넣기 감지,이벤트 로깅,useClipboardDetection.ts,0.5일,Frontend,-,대기,Low
Phase 3: 고도화,3.1.3,시간 검증,서버 타임스탬프 비교,time_validation.py,0.5일,Backend,-,대기,Low
Phase 3: 고도화,3.1.4,행동 로깅,activity_logs 저장,POST /logs/activity,1일,Backend,3.1.1,대기,Low
Phase 3: 고도화,3.2.1,WebSocket 서버,FastAPI WebSocket,websocket.py,1.5일,Backend,-,대기,Low
Phase 3: 고도화,3.2.2,실시간 자동저장,입력 시 즉시 저장,useRealtimeSave.ts,1일,Frontend,3.2.1,대기,Low
Phase 3: 고도화,3.2.3,감독관 모니터링,진행 중 세션 실시간 조회,Monitor.tsx,2일,Frontend,3.2.1,대기,Low
Phase 3: 고도화,3.2.4,알림 시스템,부정행위 감지 알림,notification.py,1일,Backend,3.2.1,대기,Low
Phase 3: 고도화,3.3.1,Redis 캐싱,문항 데이터 캐시,cache.py,1일,Backend,-,대기,Low
Phase 3: 고도화,3.3.2,CDN 설정,정적 자산 캐싱,cloudflare 설정,0.5일,DevOps,-,대기,Low
Phase 3: 고도화,3.3.3,DB 인덱스 최적화,쿼리 성능 개선,index.sql,0.5일,Backend,-,대기,Low
Phase 3: 고도화,3.3.4,API 응답 압축,gzip 적용,middleware 설정,0.5일,Backend,-,대기,Low
Phase 3: 고도화,3.4.1,인증서 발급,PDF 생성,Certificate.tsx,2일,Frontend,1.4.5,대기,Low
Phase 3: 고도화,3.4.2,이메일 알림,"결과 알림, 인증서",email.py,1일,Backend,3.4.1,대기,Low
Phase 3: 고도화,3.4.3,연습 모드,시간 제한 없는 모드,Practice.tsx,1.5일,Frontend,-,대기,Low
Phase 3: 고도화,3.4.4,다국어 지원,i18n,i18n 설정,2일,Frontend,-,대기,Low
Phase 3: 고도화,3.4.5,모바일 앱,React Native,별도 프로젝트,4주,Mobile,-,대기,Low
